	 ,  	  ,    ,  Broadband  ,  Energy  ,  Energy  ,  Energy  ,  Rental
ID ,  Size  ,  Floor  ,  Rate  ,  Rating A  ,  Rating B  ,  Rating C  ,  Price
1	 , 	500	 , 	4	 , 	8	 , 	0	 ,  0  ,  1  , 	320	
2	 , 	550	 , 	7	 , 	50	 , 	1	 ,  0  ,  0  , 	380	
3	 , 	620	 , 	9	 , 	7	 , 	1	 ,  0  ,  0	 , 	400	
4	 , 	630	 , 	5	 , 	24	 , 	0	 ,  1  ,  0	 , 	390	
5	 , 	665	 , 	8	 , 	100	 , 	0	 ,  0  ,  1	 , 	385	
6	 , 	700	 , 	4	 , 	8	 , 	0	 ,  1  ,  0	 , 	410	
7	 , 	770	 , 	10	 , 	7	 , 	0	 ,  1  ,  0	 , 	480	
8	 , 	880	 , 	12	 , 	50	 , 	1	 ,  0  ,  0	 , 	600	
9	 , 	920	 , 	14	 , 	8	 , 	0	 ,  0  ,  1	 , 	570	
10	 , 	1000	 , 	9	 , 	24	 , 	0	 ,  1  ,  0	 , 	620	
